,Age,C0.4,C1,C2.5,C5,C10,C25,C50,C75,C90,C95,C97.5,C99,C99.6
,80,1.743972,1.823361,1.916417,2.000158,2.101763,2.28656,2.517271,2.750645,2.941521,3.048024,3.136662,3.236096,3.321731
,90,1.658943,1.740496,1.836488,1.923275,2.029141,2.223429,2.468806,2.717196,2.918271,3.029544,3.1217,3.22464,3.312961
L_paracentral,3,2.329469,2.388236,2.453423,2.508748,2.57173,2.675159,2.787604,2.897656,2.994812,3.05215,3.101416,3.158173,3.208173
,5,2.29184,2.349435,2.413433,2.467841,2.529875,2.631963,2.743243,2.852432,2.949043,3.006151,3.055272,3.111921,3.161878
,10,2.196278,2.250913,2.311892,2.36395,2.423541,2.52214,2.630338,2.737204,2.832315,2.888773,2.937472,2.99379,3.043589
,15,2.09984,2.151513,2.209442,2.259104,2.316183,2.411148,2.516085,2.620446,2.713906,2.769635,2.817851,2.873777,2.923374
,20,2.020043,2.069501,2.125143,2.173005,2.228196,2.320439,2.422955,2.5255,2.617818,2.673077,2.721012,2.776754,2.826316
,30,1.931142,1.980374,2.03577,2.083429,2.138394,2.230278,2.332425,2.434629,2.526663,2.581762,2.629565,2.68516,2.734597
,40,1.864762,1.918034,1.977381,2.027957,2.085758,2.181186,2.285629,2.388523,2.479898,2.534054,2.580719,2.634631,2.682257
,50,1.795296,1.856104,1.922556,1.978197,2.040754,2.141828,2.249611,2.353208,2.443265,2.495846,2.540707,2.592043,2.636973
,60,1.746697,1.809862,1.87864,1.936046,2.000402,2.104007,2.214027,2.319375,2.410668,2.463857,2.509175,2.560966,2.606237
,70,1.73677,1.791229,1.852192,1.904385,1.964297,2.063807,2.173538,2.282449,2.379813,2.437797,2.487923,2.546017,2.597498
,80,1.733385,1.776728,1.826902,1.871294,1.923944,2.015568,2.122998,2.236716,2.344773,2.41216,2.472325,2.54435,2.610308
,90,1.697761,1.733157,1.775076,1.813057,1.859256,1.942876,2.046693,2.164307,2.28451,2.364186,2.438715,2.532544,2.623302
L_parsopercularis,3,2.390015,2.500442,2.604359,2.681476,2.760082,2.87383,2.982803,3.080166,3.161667,3.208737,3.248944,3.295318,3.336487
,5,2.388315,2.48796,2.584104,2.656823,2.732045,2.842673,2.950413,3.047964,3.130469,3.178443,3.219601,3.26727,3.309756
,10,2.371668,2.450647,2.530873,2.594069,2.66162,2.7648,2.869426,2.967471,3.05272,3.103231,3.147101,3.198513,3.24487
,15,2.34202,2.406404,2.474326,2.529586,2.590338,2.686428,2.787847,2.886445,2.974918,3.028525,3.075791,3.132012,3.183466
,20,2.303778,2.358756,2.418214,2.467696,2.523245,2.613573,2.712208,2.81137,2.903116,2.959989,3.010942,3.072538,3.129858
,30,2.202544,2.254616,2.311295,2.358753,2.412345,2.500205,2.59717,2.695753,2.787966,2.84562,2.897596,2.960839,3.020097
,40,2.099608,2.158034,2.220431,2.271764,2.328783,2.420214,2.518382,2.615491,2.704067,2.758413,2.806762,2.864803,2.918434
,50,2.024438,2.085393,2.150001,2.202795,2.261078,2.3538,2.452431,2.549153,2.636717,2.690159,2.737535,2.794209,2.846395
,60,1.981362,2.040206,2.102983,2.154584,2.211863,2.303654,2.40218,2.499684,2.588713,2.643403,2.692112,2.750658,2.804836
,70,1.954341,2.011429,2.072714,2.12338,2.179922,2.27119,2.370056,2.468818,2.559804,2.616081,2.666451,2.727304,2.783917
,80,1.937437,1.990848,2.048856,2.097336,2.152002,2.241495,2.3402,2.440654,2.534861,2.593938,2.64734,2.712526,2.773829
,90,1.920821,1.970874,2.025814,2.072201,2.125025,2.212717,2.311228,2.413473,2.511241,2.573504,2.630429,2.700757,2.767749
L_parsorbitalis,3,2.515258,2.636424,2.766401,2.873544,2.992426,3.181596,3.380307,3.569348,3.732847,3.828197,3.909596,4.002897,4.084775
,5,2.505685,2.615038,2.733163,2.83112,2.940383,3.115392,3.300618,3.478046,3.632402,3.72279,3.800164,3.889088,3.96733
,10,2.463335,2.549264,2.643317,2.722234,2.811201,2.955674,3.111105,3.262329,3.395702,3.474578,3.542551,3.621187,3.690837
,15,2.359476,2.435547,2.519512,2.590518,2.671161,2.803446,2.947585,3.089645,3.216446,3.292116,3.357738,3.43414,3.502252
,20,2.22354,2.300994,2.387094,2.460403,2.544216,2.68299,2.83606,2.98888,3.126995,3.210211,3.282874,3.368067,3.444567
,30,2.19854,2.264205,2.337659,2.400604,2.473054,2.594242,2.729893,2.867663,2.994442,3.071971,3.14042,3.221619,3.295449
,40,2.115336,2.183793,2.260219,2.325628,2.400874,2.52681,2.668217,2.812758,2.946993,3.029819,3.103487,3.19161,3.272492
,50,2.022341,2.09711,2.179097,2.248133,2.32639,2.45497,2.596462,2.738782,2.869574,2.94987,3.021149,3.106349,3.184579
,60,1.871767,1.963496,2.061275,2.141582,2.230639,2.373098,2.525499,2.675552,2.811676,2.894795,2.968464,3.056538,3.137554
,70,1.858445,1.945549,2.038685,2.115454,2.200977,2.338998,2.489131,2.640668,2.782511,2.871655,2.952516,3.051709,3.145596
,80,1.905934,1.977611,2.054984,2.119427,2.192078,2.311803,2.446811,2.590173,2.733006,2.828057,2.918368,3.035114,3.152328
,90,2.045266,2.097577,2.153052,2.198589,2.249374,2.3324,2.426414,2.528821,2.635767,2.710709,2.78532,2.88745,2.997334
L_parstriangularis,3,2.535206,2.589138,2.649803,2.701978,2.762133,2.862649,2.974329,3.086009,3.186525,3.24668,3.298855,3.35952,3.413452
,5,2.48649,2.540353,2.600941,2.65305,2.713128,2.813515,2.925053,3.036591,3.136979,3.197057,3.249166,3.309754,3.363617
,10,2.361682,2.415374,2.475769,2.527711,2.587598,2.687666,2.798849,2.910032,3.010101,3.069987,3.12193,3.182325,3.236017
,15,2.237199,2.29072,2.350923,2.4027,2.462397,2.562147,2.672976,2.783805,2.883555,2.943252,2.995029,3.055232,3.108753
,20,2.143737,2.197088,2.2571,2.308713,2.36822,2.467654,2.578131,2.688609,2.788042,2.847549,2.899162,2.959174,3.012525
,30,2.037145,2.09016,2.149792,2.20108,2.260211,2.359016,2.468797,2.578577,2.677382,2.736513,2.787801,2.847433,2.900448
,40,1.975497,2.028179,2.087437,2.138402,2.197161,2.295346,2.404436,2.513526,2.61171,2.67047,2.721435,2.780693,2.833374
,50,1.915293,1.967645,2.026532,2.077179,2.135571,2.233141,2.341549,2.449957,2.547528,2.60592,2.656566,2.715454,2.767806
,60,1.838157,1.890182,1.948702,1.999033,2.057061,2.154022,2.261754,2.369486,2.466448,2.524476,2.574806,2.633326,2.685352
,70,1.815875,1.867576,1.925731,1.975747,2.033413,2.12977,2.23683,2.343889,2.440246,2.497912,2.547928,2.606083,2.657784
,80,1.794852,1.84623,1.904022,1.953726,2.011032,2.106787,2.213178,2.31957,2.415325,2.472631,2.522335,2.580127,2.631505
,90,1.724557,1.775614,1.833045,1.882439,1.939387,2.034545,2.140271,2.245998,2.341156,2.398103,2.447497,2.504928,2.555985
L_pericalcarine,3,1.564779,1.592008,1.624482,1.654172,1.690705,1.758266,1.845425,1.949853,2.064645,2.146353,2.227693,2.338167,2.45542
,5,1.532409,1.55991,1.592618,1.622436,1.65901,1.72631,1.81246,1.914631,2.025523,2.103482,2.180234,2.283032,2.390205
,10,1.456342,1.484721,1.518208,1.54849,1.585314,1.65217,1.736042,1.833007,1.935114,2.004902,2.071969,2.159202,2.246948
,15,1.389975,1.419592,1.454217,1.485235,1.522591,1.589422,1.671521,1.7641,1.858944,1.922225,1.981867,2.05773,2.132091
,20,1.338577,1.369775,1.405881,1.437902,1.476078,1.543378,1.624423,1.713824,1.803381,1.862053,1.916585,1.984903,2.050756
,30,1.282665,1.316749,1.355525,1.389362,1.429087,1.497672,1.578213,1.664985,1.750201,1.805282,1.85603,1.919078,1.979361
,40,1.252349,1.287527,1.327198,1.361548,1.401606,1.470244,1.550328,1.636433,1.721243,1.776359,1.827427,1.891336,1.952993
,50,1.232277,1.26717,1.306454,1.340433,1.38004,1.447938,1.527383,1.613317,1.698718,1.754719,1.807007,1.873029,1.937389
,60,1.216224,1.250091,1.288317,1.321469,1.360224,1.426973,1.505633,1.591488,1.67769,1.734731,1.788376,1.856669,1.923858
,70,1.207462,1.240211,1.277339,1.309681,1.347656,1.413473,1.491688,1.577838,1.665133,1.723327,1.778369,1.848877,1.918727
,80,1.2009,1.231671,1.266821,1.297673,1.334179,1.398186,1.475489,1.562235,1.651908,1.712716,1.771015,1.84685,1.923308
,90,1.191837,1.220068,1.252613,1.281448,1.315908,1.377256,1.453031,1.540435,1.633678,1.698731,1.762595,1.848032,1.937105
L_postcentral,3,2.070135,2.113243,2.161507,2.202733,2.249812,2.326983,2.409996,2.494541,2.575987,2.627089,2.672752,2.727331,2.777137
,5,2.030671,2.073237,2.120895,2.161606,2.2081,2.284322,2.366333,2.449844,2.530249,2.580677,2.625727,2.67956,2.728672
,10,1.935252,1.976496,2.022678,2.062131,2.107195,2.181097,2.260659,2.341642,2.4195,2.468283,2.511834,2.563844,2.611265
,15,1.852404,1.892548,1.937499,1.975905,2.019779,2.091751,2.169279,2.248158,2.323884,2.371283,2.41357,2.464039,2.510028
,20,1.793998,1.833536,1.87781,1.915641,1.958864,2.029789,2.10623,2.183967,2.25849,2.305087,2.346631,2.396183,2.441307
,30,1.735489,1.775062,1.819378,1.857249,1.900528,1.971584,2.048246,2.126133,2.200578,2.247029,2.288388,2.337654,2.382463
,40,1.69114,1.73106,1.775764,1.81397,1.857641,1.929374,2.006841,2.085463,2.160385,2.207034,2.248511,2.297854,2.342674
,50,1.653191,1.693613,1.738878,1.777564,1.82179,1.894467,1.973022,2.052657,2.128312,2.175314,2.217047,2.266626,2.311603
,60,1.606336,1.647045,1.692627,1.731583,1.776122,1.849338,1.928539,2.008733,2.084678,2.131756,2.173495,2.223013,2.267875
,70,1.567753,1.608959,1.655089,1.694512,1.739586,1.813704,1.893936,1.975068,2.051653,2.099021,2.140954,2.190632,2.235577
,80,1.51215,1.553397,1.599563,1.639011,1.684112,1.758292,1.838638,1.919773,1.996109,2.043212,2.084847,2.134102,2.178603
,90,1.443814,1.484715,1.530479,1.569576,1.614274,1.687798,1.767473,1.847812,1.923144,1.969515,2.010441,2.058786,2.102401
L_posteriorcingulate,3,2.541025,2.62215,2.704361,2.769085,2.838565,2.946727,3.062526,3.182567,3.302917,3.384829,3.464645,3.571281,3.682749
,5,2.519775,2.592573,2.668019,2.728605,2.794747,2.899614,3.013398,3.131277,3.247686,3.325305,3.399482,3.496252,3.594608
,10,2.445044,2.504924,2.569484,2.623148,2.683452,2.782089,2.891548,3.004792,3.113762,3.183905,3.248734,3.329922,3.40854
,15,2.355669,2.408529,2.466874,2.516359,2.572909,2.667067,2.772882,2.882225,2.985844,3.051179,3.110392,3.182795,3.250945
,20,2.272924,2.321823,2.376541,2.423494,2.477669,2.568792,2.671908,2.778346,2.878279,2.940519,2.996276,3.063495,3.125712
,30,2.169296,2.215413,2.267614,2.312842,2.365438,2.454613,2.556022,2.660475,2.75765,2.817476,2.870502,2.933606,2.991135
,40,2.10508,2.151099,2.203329,2.248679,2.301499,2.391172,2.493147,2.597953,2.695046,2.754548,2.807077,2.8693,2.925722
,50,2.048724,2.095468,2.148493,2.194505,2.248059,2.338873,2.441955,2.547653,2.64532,2.705042,2.757677,2.819915,2.87624
,60,2.001018,2.049208,2.103715,2.150889,2.205664,2.29827,2.403047,2.510217,2.609101,2.669537,2.722798,2.78579,2.842826
,70,1.965818,2.016882,2.074205,2.12349,2.180394,2.275971,2.383478,2.493153,2.594441,2.656524,2.711415,2.77661,2.835953
,80,1.925399,1.982966,2.046207,2.09958,2.160249,2.260421,2.371576,2.484661,2.589991,2.655434,2.714075,2.784895,2.850663
,90,1.839063,1.918699,2.000306,2.065162,2.135271,2.244915,2.361709,2.480201,2.594625,2.669474,2.739927,2.830288,2.920376
L_precentral,3,2.198532,2.303087,2.398892,2.468526,2.538389,2.637879,2.732009,2.81579,2.886209,2.927187,2.962452,3.003502,3.04034
,5,2.206545,2.302948,2.393086,2.459623,2.527174,2.624613,2.71799,2.801951,2.873072,2.914668,2.950583,2.992516,3.030258
,10,2.218714,2.298508,2.376562,2.436214,2.498441,2.590963,2.682445,2.766851,2.839812,2.883066,2.92074,2.965098,3.005351
,15,2.218485,2.286267,2.354907,2.408848,2.466426,2.554381,2.643946,2.728729,2.803575,2.848597,2.88819,2.935247,2.978349
,20,2.201656,2.262084,2.324609,2.374649,2.428914,2.513436,2.601437,2.686446,2.762804,2.809305,2.850543,2.899961,2.945606
,30,2.120634,2.181167,2.243819,2.293975,2.348377,2.433137,2.521408,2.606686,2.683285,2.729926,2.771283,2.820837,2.866598
,40,2.022023,2.091449,2.161693,2.216859,2.275718,2.365582,2.45703,2.543525,2.61981,2.665657,2.705949,2.753801,2.797595
,50,1.957984,2.0286,2.10028,2.156729,2.217101,2.309545,2.403926,2.493453,2.572598,2.62024,2.662153,2.711979,2.757625
,60,1.909716,1.977268,2.046826,2.102268,2.162182,2.255095,2.351329,2.443805,2.526457,2.576595,2.620932,2.673908,2.722689
,70,1.856455,1.921392,1.988882,2.043109,2.102121,2.19444,2.291023,2.384693,2.469074,2.520546,2.566235,2.62103,2.671674
,80,1.773937,1.842201,1.912394,1.968282,2.02862,2.122082,2.218745,2.311491,2.394257,2.4444,2.4887,2.541578,2.590215
,90,1.66381,1.74356,1.822739,1.884002,1.948584,2.045809,2.143241,2.234142,2.313376,2.360594,2.401849,2.450559,2.494876
L_precuneus,3,2.505666,2.564177,2.627739,2.680501,2.739128,2.831718,2.92682,3.019667,3.105921,3.158537,3.20462,3.258592,3.306833
,5,2.448954,2.506281,2.568607,2.620385,2.677966,2.769012,2.86268,2.95418,3.039139,3.090951,3.136324,3.189462,3.236954
,10,2.309305,2.363687,2.422934,2.472253,2.527212,2.614375,2.704419,2.792507,2.874195,2.923981,2.967567,3.018604,3.064216
,15,2.177297,2.228868,2.285169,2.332132,2.384574,2.468001,2.554545,2.639336,2.717876,2.765713,2.807583,2.856604,2.900412
,20,2.080716,2.130276,2.184494,2.229814,2.280528,2.361454,2.445761,2.528489,2.605034,2.651629,2.692403,2.740135,2.782791
,30,1.996213,2.044265,2.097058,2.141373,2.191174,2.271147,2.35518,2.437916,2.514312,2.56077,2.601409,2.648976,2.691487
,40,1.94559,1.992883,2.045066,2.089059,2.138713,2.218968,2.304045,2.388112,2.465601,2.512685,2.55386,2.602055,2.645133
,50,1.903027,1.949701,2.001427,2.045225,2.094882,2.175674,2.2621,2.347832,2.426741,2.474656,2.516554,2.565598,2.609449
,60,1.845925,1.891566,1.942373,1.985585,2.0348,2.115421,2.202467,2.289178,2.368896,2.41728,2.45959,2.509127,2.553437
,70,1.812776,1.857924,1.908408,1.951539,2.000891,2.082302,2.17104,2.259837,2.341406,2.390904,2.434193,2.484897,2.530275
,80,1.749457,1.793308,1.842564,1.88484,1.933443,2.014192,2.103071,2.192443,2.274501,2.324295,2.367858,2.41891,2.464632
,90,1.668069,1.710113,1.757557,1.798467,1.845727,1.924818,2.012751,2.101632,2.183231,2.23276,2.276111,2.326951,2.372523
L_rostralanteriorcingulate,3,2.469105,2.651175,2.824461,2.954167,3.087055,3.279321,3.461051,3.621565,3.754517,3.829673,3.892448,3.962838,4.023236
,5,2.464805,2.624937,2.781824,2.901881,3.026969,3.211213,3.388373,3.547109,3.680157,3.755938,3.819529,3.891133,3.952813
,10,2.432433,2.552633,2.677672,2.777909,2.886248,3.052463,3.219004,3.373715,3.507472,3.585221,3.651296,3.726572,3.792132
,15,2.392559,2.488462,2.59225,2.678277,2.773951,2.925865,3.083891,3.236004,3.371816,3.452521,3.522091,3.602417,3.673282
,20,2.361756,2.443816,2.534781,2.61183,2.69922,2.841514,2.993907,3.145127,3.284231,3.368672,3.442499,3.528915,3.606177
,30,2.293307,2.367617,2.451106,2.522693,2.604796,2.740347,2.887771,3.037757,3.180348,3.269,3.347763,3.4414,3.526413
,40,2.216694,2.293446,2.379236,2.452398,2.535817,2.672269,2.818683,2.967076,3.109035,3.197629,3.276498,3.370408,3.455773
,50,2.175239,2.251957,2.337828,2.411159,2.494884,2.632109,2.779741,2.929614,3.07307,3.162645,3.242421,3.337458,3.423891
,60,2.174039,2.244598,2.324739,2.394214,2.474796,2.610094,2.760668,2.916082,3.064511,3.157198,3.239851,3.338525,3.428522
,70,2.195131,2.258141,2.331048,2.395521,2.471948,2.604853,2.760511,2.924683,3.079769,3.176036,3.261699,3.3639,3.457164
,80,2.229044,2.282973,2.346768,2.404567,2.474966,2.603023,2.76331,2.938675,3.104403,3.207504,3.299626,3.410203,3.511907
,90,2.257555,2.304269,2.360569,2.412666,2.477695,2.60112,2.765887,2.953247,3.131109,3.242254,3.342149,3.463041,3.5754
L_rostralmiddlefrontal,3,2.470763,2.538584,2.611342,2.670889,2.735988,2.835978,2.934201,3.030742,3.125676,3.185742,3.23952,3.303756,3.362209
,5,2.417797,2.482039,2.551373,2.608457,2.671244,2.768559,2.865397,2.960876,3.054158,3.112968,3.165525,3.228214,3.285198
,10,2.291564,2.347867,2.409491,2.46095,2.518378,2.609365,2.702788,2.795659,2.885059,2.940958,2.990704,3.049851,3.103487
,15,2.178781,2.228632,2.283872,2.330586,2.383409,2.4688,2.559025,2.649503,2.735601,2.789091,2.836544,2.892838,2.94381
,20,2.103207,2.148618,2.199443,2.242871,2.292517,2.374153,2.462537,2.551872,2.636111,2.688174,2.734245,2.788804,2.838148
,30,2.026595,2.068985,2.116806,2.158016,2.205572,2.284968,2.372867,2.462105,2.54508,2.5959,2.640639,2.693391,2.740923
,40,1.97107,2.017973,2.07014,2.114425,2.164705,2.246494,2.333686,2.421372,2.50453,2.556094,2.601794,2.655974,2.705009
,50,1.901696,1.955043,2.013225,2.061603,2.115317,2.199648,2.284933,2.369971,2.453575,2.506577,2.554148,2.611149,2.663215
,60,1.849004,1.902787,1.961444,2.010211,2.064341,2.149258,2.234997,2.320588,2.405065,2.458763,2.50704,2.56498,2.617982
,70,1.825475,1.872495,1.924992,1.969721,2.020682,2.103988,2.193347,2.283721,2.369844,2.423448,2.471085,2.527716,2.579114
,80,1.825077,1.86459,1.909985,1.949866,1.996856,2.07795,2.172074,2.269439,2.35887,2.413241,2.460952,2.517102,2.567656
,90,1.844939,1.878276,1.917623,1.953237,1.996645,2.075932,2.175813,2.282019,2.376411,2.432445,2.480977,2.537503,2.587974
L_superiorfrontal,3,2.795698,2.86471,2.938768,2.99959,3.06655,3.171146,3.277365,3.379337,3.472059,3.527775,3.576094,3.632159,3.681818
,5,2.753038,2.820121,2.89234,2.951818,3.017461,3.120307,3.225087,3.326073,3.418306,3.473901,3.522214,3.578381,3.628225
,10,2.647646,2.710126,2.777913,2.834125,2.896542,2.995067,3.096269,3.194789,3.285798,3.3411,3.389418,3.445878,3.496234
,15,2.543933,2.602099,2.665671,2.718741,2.77802,2.872294,2.96994,3.065985,3.155767,3.210794,3.259146,3.315963,3.366914
,20,2.45617,2.510835,2.570965,2.621454,2.678151,2.768927,2.863664,2.957764,3.046751,3.101754,3.150363,3.207803,3.259599
,30,2.354229,2.405979,2.463259,2.511627,2.566218,2.654163,2.746546,2.839363,2.928537,2.984296,3.033962,3.093101,3.146837
,40,2.289009,2.341082,2.398685,2.447287,2.502085,2.590177,2.682381,2.775148,2.864848,2.921181,2.971495,3.031559,3.086264
,50,2.219424,2.27319,2.332386,2.382098,2.437879,2.526919,2.619211,2.711636,2.801061,2.857211,2.907335,2.967127,3.021532
,60,2.156339,2.21313,2.275166,2.326865,2.384442,2.47538,2.568337,2.660635,2.749666,2.8054,2.855028,2.914063,2.967618
,70,2.100126,2.160658,2.226174,2.280299,2.340075,2.433399,2.527392,2.61986,2.708746,2.764204,2.813451,2.871861,2.924679
,80,2.020444,2.08464,2.153379,2.209604,2.271122,2.365965,2.459996,2.551602,2.639319,2.693851,2.742139,2.799234,2.850696
,90,1.955067,2.024118,2.097127,2.156167,2.220094,2.31731,2.412101,2.5035,2.590654,2.64463,2.692285,2.748454,2.798916
L_superiorparietal,3,2.256538,2.302051,2.353067,2.396747,2.44682,2.529596,2.620009,2.71104,2.795482,2.847084,2.892423,2.945765,2.993712
,5,2.206435,2.25134,2.301658,2.344727,2.394082,2.475626,2.564627,2.654209,2.737316,2.788105,2.832731,2.885234,2.932424
,10,2.083355,2.126724,2.175281,2.216808,2.264355,2.342805,2.428269,2.514219,2.593983,2.642736,2.685574,2.735972,2.781268
,15,1.967046,2.008947,2.055821,2.095872,2.141687,2.217173,2.299245,2.381711,2.45826,2.505052,2.546166,2.594534,2.638
,20,1.881428,1.922632,1.968655,2.00792,2.052767,2.126494,2.206413,2.28656,2.360903,2.406317,2.4462,2.493091,2.535205
,30,1.809269,1.852421,1.900269,1.940803,1.98678,2.061635,2.141774,2.221323,2.294575,2.33907,2.377987,2.423555,2.464306
,40,1.760795,1.806404,1.856616,1.898863,1.946471,2.023281,2.104579,2.184555,2.257757,2.302017,2.340601,2.385627,2.425757
,50,1.7302,1.776539,1.827559,1.870488,1.918857,1.996862,2.079349,2.160596,2.235208,2.280422,2.319894,2.366015,2.407172
,60,1.701338,1.746268,1.796089,1.838284,1.886114,1.963856,2.046818,2.129441,2.206251,2.253214,2.29446,2.342939,2.38645
,70,1.686807,1.729657,1.777661,1.818709,1.865666,1.942925,2.026602,2.111365,2.191605,2.241334,2.285418,2.337715,2.385092
,80,1.634761,1.674283,1.719046,1.75773,1.80244,1.877054,1.959322,2.0444,2.126753,2.178676,2.225269,2.281228,2.332564
,90,1.54307,1.578624,1.6193,1.654803,1.696243,1.766376,1.845125,1.92837,2.010935,2.064011,2.112319,2.171195,2.226043
L_superiortemporal,3,2.563263,2.648741,2.737069,2.807047,2.881414,2.991776,3.096191,3.195266,3.289486,3.347621,3.398774,3.458834,3.51256
,5,2.545344,2.628722,2.71526,2.784091,2.857505,2.966984,3.071215,3.170329,3.264426,3.322441,3.373474,3.433386,3.486981
,10,2.501089,2.579474,2.661701,2.727738,2.798808,2.906089,3.009847,3.109067,3.202885,3.260627,3.311389,3.37097,3.424274
,15,2.459092,2.532777,2.610882,2.674213,2.742988,2.848099,2.951409,3.050804,3.144461,3.202022,3.252604,3.311975,3.365106
,20,2.421869,2.491229,2.565495,2.626284,2.692897,2.795988,2.898987,2.998738,3.092455,3.149988,3.200537,3.259881,3.313014
,30,2.360995,2.423924,2.492403,2.549336,2.612691,2.712931,2.816101,2.91712,3.011306,3.068913,3.119456,3.178757,3.231851
,40,2.309463,2.368511,2.433461,2.48805,2.54948,2.64834,2.752546,2.855196,2.949783,3.007228,3.057441,3.116181,3.168651
,50,2.256788,2.31326,2.375844,2.428859,2.489027,2.587177,2.692677,2.796845,2.891417,2.948306,2.997761,3.055344,3.10657
,60,2.195427,2.250096,2.310984,2.362851,2.422088,2.51975,2.626392,2.731577,2.825411,2.881196,2.929353,2.98508,3.034383
,70,2.12502,2.178512,2.238252,2.289317,2.347889,2.445219,2.55278,2.658408,2.750757,2.804907,2.851266,2.904515,2.951307
,80,2.043495,2.096122,2.154962,2.20535,2.263308,2.360173,2.468194,2.573536,2.663637,2.715676,2.759822,2.810116,2.853982
,90,1.959613,2.011614,2.06976,2.119602,2.17704,2.273475,2.38179,2.486532,2.574114,2.623912,2.665761,2.713041,2.753965
L_supramarginal,3,2.487489,2.584098,2.680049,2.753595,2.829579,2.938497,3.03748,3.129406,3.216423,3.269826,3.316601,3.371245,3.419866
,5,2.452703,2.541985,2.631992,2.701862,2.77486,2.881033,2.979331,3.071059,3.157211,3.20987,3.255904,3.309609,3.357347
,10,2.366053,2.440025,2.517092,2.578682,2.644757,2.744341,2.840868,2.932103,3.016256,3.067207,3.111546,3.163106,3.208835
,15,2.288052,2.350248,2.41687,2.471499,2.531559,2.625218,2.720154,2.811167,2.893848,2.9435,2.986542,3.036465,3.080668
,20,2.230731,2.284519,2.343427,2.392774,2.448178,2.537229,2.631183,2.722608,2.804818,2.853914,2.896376,2.94556,2.989086
,30,2.165817,2.211859,2.263488,2.307758,2.358646,2.443324,2.536901,2.630018,2.713492,2.7633,2.806414,2.85644,2.900823
,40,2.107718,2.153234,2.204383,2.248313,2.298864,2.383013,2.475934,2.569192,2.654229,2.705584,2.750379,2.802732,2.8495
,50,2.045444,2.093629,2.147351,2.193075,2.245143,2.330265,2.421704,2.513672,2.600248,2.653671,2.700881,2.756706,2.807111
,60,1.982198,2.033437,2.090068,2.137814,2.191613,2.278043,2.368466,2.45925,2.54671,2.601491,2.650331,2.708533,2.761453
,70,1.940339,1.992444,2.049994,2.098501,2.153165,2.241078,2.333298,2.42552,2.513439,2.568109,2.616623,2.674182,2.726296
,80,1.877377,1.92877,1.985659,2.033755,2.08818,2.176417,2.270259,2.363551,2.450275,2.503292,2.549843,2.604542,2.653619
,90,1.802345,1.852989,1.909117,1.956667,2.010635,2.098675,2.193311,2.286799,2.371754,2.422893,2.467369,2.519175,2.565283
L_frontalpole,3,2.416308,2.529325,2.656072,2.764455,2.888286,3.091199,3.309054,3.531394,3.746902,3.882647,4.004222,4.14982,4.282907
,5,2.368392,2.478465,2.602143,2.708116,2.829466,3.029029,3.24444,3.464515,3.6771,3.810713,3.930229,4.073207,4.203777
,10,2.257529,2.360758,2.477296,2.577659,2.693227,2.885014,3.094836,3.309776,3.515644,3.644332,3.75908,3.895987,4.020717
,15,2.168054,2.265501,2.376035,2.47172,2.582531,2.768142,2.974026,3.18552,3.386339,3.511164,3.622106,3.754098,3.874056
,20,2.102794,2.195558,2.301277,2.393265,2.500403,2.681548,2.885275,3.095153,3.292731,3.414845,3.523019,3.651354,3.767698
,30,2.021824,2.109652,2.210221,2.298159,2.40112,2.576642,2.776356,2.983197,3.177592,3.297638,3.403959,3.530107,3.644506
,40,1.971563,2.061442,2.163862,2.252875,2.356296,2.530099,2.723349,2.924342,3.119406,3.242598,3.353258,3.48628,3.608406
,50,1.923217,2.017372,2.123882,2.215611,2.320988,2.494435,2.680753,2.875275,3.072435,3.20071,3.318126,3.46177,3.595861
,60,1.872846,1.964911,2.069468,2.159869,2.264128,2.436714,2.623509,2.819673,3.019271,3.149571,3.269154,3.415857,3.553213
,70,1.837721,1.924341,2.023978,2.111358,2.213777,2.387981,2.584599,2.792856,2.999131,3.131462,3.251657,3.397772,3.533463
,80,1.811164,1.893096,1.988709,2.073934,2.17571,2.354417,2.566124,2.792762,3.010549,3.147404,3.270177,3.417799,3.55354
,90,1.786918,1.864365,1.956082,2.039214,2.140445,2.324266,2.553236,2.801397,3.032926,3.175316,3.301408,3.451291,3.587692
L_temporalpole,3,2.247413,2.487923,2.71777,2.891565,3.072836,3.345378,3.618902,3.852735,4.025367,4.116052,4.188788,4.267637,4.333363
,5,2.290637,2.515635,2.734054,2.901402,3.077725,3.345588,3.617007,3.851414,4.026264,4.118699,4.193105,4.274014,4.341643
,10,2.38853,2.579379,2.772508,2.925277,3.090138,3.346819,3.612985,3.848783,4.029392,4.126459,4.205333,4.291803,4.364609
,15,2.473655,2.637772,2.810077,2.950225,3.104723,3.350775,3.611632,3.848801,4.035593,4.137769,4.221652,4.314444,4.39321
,20,2.544717,2.6899,2.846385,2.976332,3.121974,3.358182,3.613286,3.850909,4.0433,4.150438,4.239332,4.338596,4.423582
,30,2.611111,2.744532,2.89018,3.012281,3.150043,3.374644,3.617941,3.849277,4.043349,4.154014,4.247137,4.352426,4.443595
,40,2.587584,2.731733,2.886062,3.013118,3.153987,3.378018,3.613137,3.834561,4.022584,4.130675,4.222027,4.325667,4.415652
,50,2.485651,2.653336,2.827156,2.966318,3.116788,3.348304,3.58173,3.798133,3.983345,4.09035,4.180989,4.283974,4.373471
,60,2.340015,2.534978,2.731296,2.88472,3.047163,3.290394,3.527652,3.745734,3.935054,4.045401,4.139314,4.246421,4.339788
